0,1925016
1,3033693
2,2284905
3,82693
4,3351391
5,2511696
6,5397533
7,1932388
8,5069896
9,7957086
10,7896841
11,7057534
12,2832545
13,874047
14,2016406
15,6887368
16,9517314
17,3453911
18,3928080
19,3785337
20,9362519
21,1862456
22,2419107
23,6801458
24,5005607
25,2646056
26,4420146
27,5437101
28,4537275
29,6771770
30,578281
31,5332343
32,998202
33,8522904
34,4485187
35,196518
36,6262819
37,9309174
38,1501242
39,3624293
40,6969762
41,8215477
42,5511573
43,6603817
44,8279540
45,2634696
46,2909770
47,9037984
48,5334657
49,347731
50,2229962
51,690487
52,9177680
53,4007792
54,9713421
55,3575691
56,3285385
57,4763063
58,3830630
59,2785918
60,5341731
61,7707548
62,9793956
63,700729
64,2853746
65,6241346
66,1083890
67,376982
68,4077668
69,5231122
70,2630805
71,9428332
72,6651160
73,1715892
74,537312
75,5758311
76,2111981
77,6950760
78,2560348
79,7062606
80,2765439
81,3761175
82,3574144
83,8355315
84,6690032
85,7006019
86,1188653
87,2512344
88,6941705
89,8505058
90,778066
91,9095030
92,328385
93,5048746
94,7207769
95,5227540
96,8839044
97,3315302
98,1021590
99,370601
100,7965362
101,5758247
102,5539096
103,4647695
104,5758930
105,3724726
106,645486
107,9235408
108,6070006
109,460632
110,4614955
111,8009236
112,1866877
113,7327578
114,9831676
115,8394231
116,4138602
117,1776431
118,1130447
119,9732373
120,7032001
121,4746103
122,5568031
123,8387820
124,1713713
125,2874583
126,9594672
127,1293162
128,8705816
129,777748
130,9935113
131,1069624
132,3322604
133,9039909
134,8043092
135,1361319
136,6525024
137,1053650
138,8108663
139,6819613
140,8883258
141,4626407
142,5052031
143,6164849
144,9323048
145,2513069
146,4824917
147,9812928
148,6259682
149,3142748
150,5938008
151,9067000
152,1866181
153,1578562
154,5767756
155,1295784
156,1634708
157,4266298
158,6434212
159,4414113
160,9157104
161,869069
162,171048
163,9915700
164,1896721
165,5992874
166,5911563
167,8495019
168,7546156
169,916441
170,9427313
171,8559283
172,8285734
173,4622934
174,5848886
175,5273332
176,1814857
177,1643275
178,1854315
179,7058322
180,3772333
181,704932
182,9767563
183,2253639
184,3024622
185,3435829
186,4299168
187,7183132
188,2999940
189,3739864
190,4590538
191,5668554
192,142916
193,3881911
194,3603993
195,7678451
196,7044512
197,7172749
198,8312246
199,760007
200,7550290
201,2902216
202,8953080
203,3665457
204,2509921
205,6360072
206,3027169
207,83124
208,2096532
209,6088860
210,9556228
211,8057553
212,4978543
213,5373238
214,1244278
215,956423
216,171900
217,997890
218,4025922
219,4202159
220,8149293
221,9271089
222,8008625
223,5270202
224,365518
225,2462376
226,7519583
227,7417173
228,1026575
229,1271250
230,4015899
231,5870362
232,8785112
233,6671243
234,319188
235,9982157
236,144691
237,2976781
238,6151257
239,7825580
240,9710486
241,2232318
242,6028501
243,7089574
244,1572588
245,9410413
246,5722814
247,1179903
248,5984610
249,9574386
250,7248586
251,6490041
252,9920416
253,4095312
254,5760142
255,3027814
256,7106717
257,2587837
258,6292093
259,660855
260,8538252
261,8568727
262,694010
263,4114664
264,7962167
265,7681588
266,1592215
267,1038803
268,8098401
269,341022
270,9989637
271,4802319
272,5195789
273,1101378
274,6544587
275,2241551
276,1307406
277,5917448
278,6333592
279,8360744
280,2612100
281,141637
282,3794674
283,2214956
284,1469585
285,4619696
286,9080495
287,9921970
288,3069396
289,7245121
290,3583790
291,5581021
292,6502858
293,9406951
294,1999927
295,942583
296,3593462
297,77674
298,6018833
299,8830984
300,4361407
301,5072591
302,5162857
303,645968
304,890911
305,6579958
306,9693851
307,9997357
308,9764102
309,5405247
310,6352831
311,9099260
312,6496486
313,8875210
314,6855733
315,6029669
316,2639241
317,2429312
318,7442708
319,1063072
320,8721089
321,6482596
322,8955243
323,9351719
324,8775773
325,2246563
326,9692412
327,5163873
328,2165814
329,6942796
330,8755755
331,4631022
332,7650356
333,8925282
334,8509320
335,30128
